event_time,read_time,diff
1723174527844422,1723174527844448,26
1723174527844422,1723174527844449,27
1723174527845406,1723174527845424,18
1723174527845406,1723174527845424,18
1723174527845406,1723174527845424,18
1723174527846409,1723174527846431,22
1723174527846409,1723174527846431,22
1723174527846409,1723174527846431,22
1723174527847410,1723174527847431,21
1723174527847410,1723174527847431,21
1723174527847410,1723174527847432,22
1723174527848409,1723174527848429,20
1723174527848409,1723174527848430,21
1723174527848409,1723174527848430,21
1723174527849412,1723174527849434,22
1723174527849412,1723174527849435,23
1723174527849412,1723174527849435,23
1723174527850411,1723174527850433,22
1723174527850411,1723174527850433,22
1723174527850411,1723174527850434,23
1723174527851419,1723174527851444,25
1723174527851419,1723174527851445,26
1723174527851419,1723174527851445,26
1723174527852430,1723174527852465,35
1723174527852430,1723174527852466,36
1723174527852430,1723174527852466,36
1723174527853430,1723174527853465,35
1723174527853430,1723174527853466,36
1723174527853430,1723174527853467,37
1723174527854419,1723174527854441,22
1723174527854419,1723174527854441,22
1723174527854419,1723174527854442,23
1723174527855421,1723174527855443,22
1723174527855421,1723174527855443,22
1723174527855421,1723174527855444,23
1723174527856412,1723174527856433,21
1723174527856412,1723174527856433,21
1723174527856412,1723174527856434,22
1723174527857415,1723174527857437,22
1723174527857415,1723174527857438,23
1723174527857415,1723174527857438,23
1723174527858414,1723174527858436,22
1723174527858414,1723174527858436,22
1723174527858414,1723174527858436,22
1723174527859418,1723174527859439,21
1723174527859418,1723174527859439,21
1723174527859418,1723174527859440,22
1723174527860412,1723174527860435,23
1723174527860412,1723174527860436,24
1723174527860412,1723174527860436,24
1723174527861414,1723174527861438,24
1723174527861414,1723174527861439,25
1723174527861414,1723174527861439,25
1723174527862409,1723174527862431,22
1723174527862409,1723174527862431,22
1723174527862409,1723174527862432,23
1723174527863410,1723174527863432,22
1723174527863410,1723174527863432,22
1723174527863410,1723174527863433,23
1723174527864416,1723174527864442,26
1723174527864416,1723174527864442,26
1723174527864416,1723174527864443,27
1723174527865414,1723174527865436,22
1723174527865414,1723174527865437,23
1723174527865414,1723174527865437,23
