event_time,read_time,diff
1723174595657419,1723174595657468,49
1723174595657419,1723174595657468,49
1723174595658417,1723174595658466,49
1723174595658417,1723174595658466,49
1723174595658417,1723174595658466,49
1723174595659419,1723174595659467,48
1723174595659419,1723174595659467,48
1723174595659419,1723174595659468,49
1723174595660427,1723174595660475,48
1723174595660427,1723174595660476,49
1723174595660427,1723174595660476,49
1723174595661417,1723174595661465,48
1723174595661417,1723174595661465,48
1723174595661417,1723174595661465,48
1723174595662417,1723174595662473,56
1723174595662417,1723174595662473,56
1723174595662417,1723174595662474,57
1723174595663436,1723174595663498,62
1723174595663436,1723174595663499,63
1723174595663436,1723174595663499,63
1723174595664416,1723174595664465,49
1723174595664416,1723174595664465,49
1723174595664416,1723174595664466,50
1723174595665415,1723174595665462,47
1723174595665415,1723174595665463,48
1723174595665415,1723174595665463,48
1723174595666414,1723174595666466,52
1723174595666414,1723174595666467,53
1723174595666414,1723174595666467,53
1723174595667418,1723174595667468,50
1723174595667418,1723174595667468,50
1723174595667418,1723174595667469,51
1723174595668421,1723174595668473,52
1723174595668421,1723174595668473,52
1723174595668421,1723174595668473,52
1723174595669414,1723174595669464,50
1723174595669414,1723174595669465,51
1723174595669414,1723174595669465,51
1723174595670415,1723174595670464,49
1723174595670415,1723174595670465,50
1723174595670415,1723174595670465,50
1723174595671414,1723174595671463,49
1723174595671414,1723174595671463,49
1723174595671414,1723174595671463,49
